item_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
"09"" Bowl-Snowdrop",0.14897528,0.9710084,0.24798682,0.028417494,0.039403513,-0.040253464,0.045119867,-0.025589723,0.004857468,0.032865517,0.0062306128,-0.046467043,0.014908457,-0.021603893,0.004691756,0.038503505,0.017878244,0.011912712,-0.026280517,-0.024717085,0.04142277,0.019138431,-0.0018292041,0.015403775,0.014377256,-0.011955687,0.017037444,0.018578166,0.018967267,0.047401186,0.044303786,-0.0022297066,0.066660754,-0.054734297,-0.054070614,-0.015813783,0.086405136,0.047762882,-0.014291038,-0.044766895,0.084275715,0.03370677,-0.018106837,0.04362257,-0.045764066,-0.0067414916,0.025280155,-0.10732767,0.026877355,-0.04072999,0.05141209,-0.03538128,-0.0129603,-0.030299759,0.0065164817,-0.051366773,-0.024395542,0.12127827,0.013650203,-0.08873093,-0.0024375923,0.03857868,-0.021614386,-0.10259395
1 Pack Silicone Nipple-MH-013 BX,0.21768542,-0.008820586,-0.008346349,-0.014074562,0.019974701,-0.08699234,-0.023023969,0.032598477,-0.055721574,-0.06720464,-0.016224837,-0.054982703,0.07038734,0.013231272,0.010916151,-0.03927216,-0.058931984,-0.08989469,-0.07345636,0.003477741,0.09265335,0.032138534,-0.04891564,-0.07032547,0.021796174,-0.0022320384,0.018634722,-0.028448138,0.007437106,0.10340786,-0.009645093,-0.010583976,-0.020993132,0.0074806036,0.074826784,-0.09218705,0.0055644843,0.02680069,0.050710946,-0.06884804,0.041900985,0.08954811,0.14423054,-0.0026425533,0.09198868,-0.053029824,-0.02396415,0.08681917,-0.0871644,-0.08231573,-0.009911157,0.03284314,-0.07763151,-0.034243066,-0.03833162,0.027749505,0.08667172,-0.040474452,-0.09059613,-0.09237764,-0.04289043,0.06118446,-0.09503297,-0.048982717
10 Bowl,0.104118615,0.0053425925,-0.011296728,-0.0056363055,0.01836854,-0.031209467,-0.024628159,-0.022670593,0.029758614,0.004030902,0.04532591,-0.014845402,0.01189115,0.057246443,0.0014532345,-0.036377765,-0.026426474,-0.004163147,-0.019823836,-0.018705089,0.02034327,0.008935509,-0.0002795834,-0.020983782,0.026131961,-0.030718971,0.04403004,-0.05211114,-0.026640814,0.025645904,-0.048561897,0.041301675,-0.05632688,0.035049204,-0.092866704,0.03454202,0.0008337498,0.03114221,-0.06379458,-0.027050003,-0.022560474,-0.019773923,0.025537848,-0.02851036,0.11388551,0.030501828,0.005862498,-0.0050274828,0.08075321,-0.057252847,0.07021658,-0.008868104,-0.027580567,0.023398574,-0.0652992,-0.0019714287,-0.07097813,0.075874306,-0.05515129,-0.07177907,0.0056236284,0.03909147,-0.007769503,0.0039579906
10 Colour Pen -05,0.2592626,0.0638547,-0.12914012,-0.09303079,-0.09847383,-0.06588174,-0.07675125,0.15740894,-0.09031574,-0.014189865,0.016306601,-0.16314274,-0.0311182,0.04105947,0.06515082,0.048765,-0.019061752,0.05388223,-0.07499116,0.12097389,0.10067181,0.017888661,-0.025247466,0.042734236,-0.030751934,-0.017195087,0.070707925,0.07557406,0.08787821,0.042210393,0.04320652,0.026330933,-0.008450823,0.08855883,0.04059827,0.11307319,0.058737043,-0.0010093655,-0.08312202,0.056570366,0.10862099,-0.08672946,-0.045312688,0.062476017,0.141406,-0.026337467,-0.09488998,-0.057719782,0.014823215,0.066751614,-0.06443453,0.012781956,0.0978957,0.058249496,0.047212377,-0.031480923,0.0776857,-0.01708561,0.13556284,-0.023872845,-0.030182017,0.03284637,0.06443505,-0.12727793
"10"" Coup Plate-Snowdrop",0.052979004,0.0027439182,-0.008167019,0.002230893,-0.015216743,0.020968163,0.02466216,-0.035154946,-0.013151501,0.04857465,0.011818584,0.004448341,-0.0034371004,0.0002948507,-0.027032351,0.005519385,0.002590719,0.012731376,-0.0055534183,-0.062487483,0.018020768,-0.04175228,-0.004159166,0.0008004532,-0.0059630927,-0.031998016,-0.032647405,0.021717465,0.013612834,0.009223032,0.026009193,0.017331637,-0.018718373,-0.015552907,0.06580438,-0.06311822,0.021821309,0.048419517,-0.012261504,0.032997947,0.012246398,-0.057788845,0.011892558,0.010084452,-0.021738667,-0.0099084275,-0.019143837,-0.009724049,-0.034664266,-0.008167544,-0.04106655,-0.023612082,0.0384855,0.039506763,-0.033662274,-0.024366131,-0.023006085,-0.048414733,-0.0053121177,-0.041197713,-0.008444502,0.0033750318,-0.0019117373,-0.014284207
"10"" Coup Plate-Violet",0.02255375,-0.0023541462,0.0040820683,-0.0029554511,0.00893751,0.010522632,0.02634959,0.0043141805,-0.0037204712,-0.009277824,0.029916614,0.004279029,0.006920535,0.010386041,0.008408287,-0.019325472,0.004739284,0.005705628,-0.013384702,-0.02889767,-0.0033456525,-0.007812912,-0.016834289,0.0203083,-0.007217159,-0.0076269098,-0.00865331,0.0040870877,0.0040672435,0.013147896,0.019814074,-0.0007297802,-0.015136823,-0.027151294,0.034663785,-0.04819386,0.027421156,-0.0066961898,-0.008224554,0.012394859,0.012162399,-0.046517864,0.027212717,0.017669586,-0.012501264,0.001728,-0.007408922,-0.010810508,-0.019032143,-0.025689667,-0.036605593,-0.011364387,-0.0043271384,-0.0073516034,-0.017450575,-0.0137794595,-0.022236867,-0.008191559,0.0032582474,-0.0348745,-0.0045228247,-0.006166029,-0.011362574,-0.0083728675
"10"" Crazy Rice Plate",0.24393006,0.024856862,-0.078932755,0.01997559,-0.02058752,-0.026774567,-0.014905694,0.08455023,0.013352542,-0.06318332,-0.00017056987,0.05024726,-0.09795232,-0.045671944,-0.06500055,0.10379091,0.0037003513,-0.11267163,0.043506205,-0.044806268,-0.03854982,-0.10868402,0.039849337,0.07667568,0.0051805438,-0.032966007,-0.04099706,-0.0019884724,-0.085964955,-0.03430189,0.02906306,0.013513984,0.08455103,-0.019350505,-0.018026616,-0.037227884,-0.06436005,0.0053185932,-0.008849248,0.110925324,0.081502244,0.0031430312,-0.0037200432,-0.0040955916,0.029600544,-0.05872691,0.048337452,-0.04835871,-0.037546154,0.08406123,-0.008682432,0.036063883,0.06251744,0.0022102557,0.089278676,0.10883276,0.04433399,-0.051808085,-0.018273238,0.013414503,-0.019938044,-0.10866315,-0.0007688161,0.061493285
"10"" Curry Bowl Violet",0.20187515,0.98984444,0.16568364,0.020282052,-0.027015705,-0.07368763,0.023712609,0.042725503,-0.054904234,-0.004263797,-0.026647907,0.094229676,0.01692603,-0.079507485,0.09139999,0.011434067,-0.015171012,0.0013446454,-0.010535102,0.041025385,0.02569836,0.015973296,0.0038691764,-0.020336114,0.027500091,0.09716218,-0.0012615661,0.05654435,-0.06765981,-0.05770842,0.025266442,0.03693731,-0.0943763,-0.012776885,-0.07688551,-0.039449558,-0.05028532,-0.046859384,-0.025791548,0.002438816,0.05618698,0.031798635,-0.042075317,-0.05591827,0.031748623,0.025491556,-0.038388833,0.035357863,-0.027899355,0.06889786,-0.045691516,-0.12347862,-0.044996627,-0.010576737,0.02547958,-0.07740448,-0.054030947,0.03867156,0.012335386,0.02439411,-0.05868387,0.11663945,-0.06700634,0.034040023
"10"" Double Color Coup Plate",0.1644108,1.0025785,0.14040631,0.078710824,0.0069277827,-0.098657474,-0.0051610726,-0.063565806,0.017564762,-0.018287692,-0.032108296,0.0025950633,0.004424127,-0.004931904,0.05874961,-0.016303424,0.01569368,0.063610025,-0.027084924,-0.08313869,-0.070448436,0.090690635,0.03977384,0.047118038,-0.013063733,-0.0038923256,0.008805602,0.060325276,0.051107753,0.019591874,0.011548036,0.014334153,-0.03270214,0.06253936,-0.028556626,-0.003282724,-0.010005653,-0.06613608,-0.024843302,-0.028348604,0.015646469,0.015532025,-0.027394308,0.03390102,-0.04537625,-0.071310036,0.10542767,0.013117734,0.014189901,0.04854066,-0.024448413,-0.00819492,0.080190204,0.039954737,0.04621755,0.03740564,0.06903256,0.06357696,0.029623158,0.008782471,0.0049102316,0.002728559,-0.034270085,0.031660553
"10"" Meat Plate Snowdrop",0.029133447,0.012903312,-0.011262447,-0.0327507,-0.038356967,0.0007386394,-0.021711886,0.019986741,0.021343518,-0.030884923,0.00461887,0.022081729,-0.037876263,0.004531903,-0.031661406,-0.013864275,-0.0027851425,-0.008402319,0.012411795,0.0082462095,0.006626655,-0.018687457,0.027002957,0.03079482,-0.01820589,-0.0070577087,0.011252241,-0.01706941,-0.06738836,0.02823681,0.010338942,-0.026280414,0.0029698245,-0.016424745,-0.024751497,0.007616615,-0.06326274,0.004563801,-0.017082745,-0.057878137,0.005962235,-0.017370734,0.0036289413,0.024082355,-0.004104624,0.004950145,0.013244253,-0.013794948,-0.023140213,-0.0013083816,0.0270982,0.020898528,-0.04408587,-0.020684276,0.006522976,0.0025755307,0.02542601,-0.017867845,-0.00166632,0.0044830926,0.016832313,-0.02265376,0.0031960567,-0.0009778785
