item_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
"09"" Bowl-Snowdrop",0.3991672,-0.24682854,-0.21121484,0.34961835,-0.037811477,-0.07916014,0.007859029,0.043035906,-0.1496704,0.010949225,-0.0556048,0.0062416308,0.1922036,-0.015772898,-0.6375145,-0.0042153085,-0.04475151,-0.12546338,0.015492194,-0.020396776,-0.028041273,-0.0038351617,0.27488172,-0.07069394,-0.10297117,-0.03726072,-0.21270749,0.04514887,-0.20375052,0.082502976,-0.053902887,0.011252794,-0.00692674,-0.09469755,-0.21887913,-0.03975274,-0.013498454,-0.110794336,0.18981504,0.33604008,-0.08402715,0.03694995,-0.3054859,0.29131287,0.38439858,0.08091333,-0.2915287,0.06657882,-0.101312265,0.30166033,0.25113535,0.05542364,-0.15862966,0.11452718,0.3358849,0.10738012,-0.15524668,-0.14061914,0.08325552,0.16531098,-0.03584295,0.14157054,-0.39496207,0.026985183
1 Pack Silicone Nipple-MH-013 BX,7.33663,1.6270835,-0.74042124,-0.21974951,-0.6811091,-1.6124878,0.24779755,-1.9413238,0.109475,0.5737259,-0.061931383,-0.10385311,2.0508852,0.053078867,0.066799745,0.8025783,0.64984745,-0.5255666,-1.5610207,0.2707776,0.20288514,1.5550152,-0.45766702,-0.38459635,1.1152701,-0.53226215,-0.86114955,-0.49673152,-1.4997332,0.6847586,1.1992325,1.5087543,0.07243993,-1.1178453,-0.30555385,-0.39510188,1.1363585,-0.6953879,-0.41818422,-0.12592001,0.2740505,-0.30652627,1.4976205,0.23059025,-0.8472744,0.018460386,1.1017455,-0.4239028,-0.19729576,0.51355773,-0.1154758,0.0802824,0.4192857,0.034906875,-0.5916853,0.027051013,0.17287774,0.53288823,0.43534604,0.17405722,0.017232552,0.5627817,-0.13805525,0.8805946
10 Bowl,4.8244786,-0.9486267,-0.79125047,0.92537475,-0.30108753,0.083351836,-0.4219161,-0.2640339,1.0196929,-0.45484978,0.13662562,-0.076059416,0.051222943,-0.22174099,-0.4590466,-0.26441243,0.9476117,-0.3612864,-0.25384897,-0.4912822,0.4866281,-0.51240796,-0.6264252,-0.56260854,-0.7270561,-0.6072469,-0.65091753,-0.4433828,-0.6434514,0.66461706,1.0049974,-0.087226145,-0.32298532,0.46703878,-0.09148522,0.20533141,-0.29890558,1.3736722,0.3988977,-0.7231458,-0.0981544,-0.1355265,-1.5194623,0.051637318,0.20736672,0.0053988677,0.2559185,0.52121,-0.30369955,-1.3473377,0.37529016,0.6001481,-0.023899294,0.023469552,0.042352103,-0.57282275,0.09950068,0.1531133,0.4477654,-0.2790265,0.19083628,-0.7226831,0.49952158,0.08432905
10 Colour Pen -05,5.8172436,-0.5947199,-0.8052237,2.3171682,-1.75775,-0.33354986,0.35460663,-0.05498613,-0.16251414,1.0846676,-0.21595566,-0.95046127,2.4564927,0.22902748,-2.316473,-0.35933548,-0.30138046,0.40179637,0.51211303,0.084532015,1.1061882,0.5071216,0.16222087,-0.5309222,-1.099391,0.19139947,-0.019182956,0.2797641,0.31831798,0.6971595,-0.51781344,-0.24784236,0.136397,-0.70408446,-1.7821792,-0.0037362063,-0.082877204,-0.36533058,1.6664777,1.2154974,-0.2360446,-0.70480657,-0.12428658,0.18750842,1.719672,0.1550429,-0.98799706,-0.3661198,-0.2623494,-0.9284481,1.3311831,0.7785459,-0.28186902,-0.19735202,-1.1808056,-0.076189116,-0.016902078,0.7362325,0.48800027,0.08762548,-1.6033384,-0.9856311,-0.5785623,-0.6868235
"10"" Coup Plate-Snowdrop",1.7036687,0.4879719,0.14231287,0.45145208,-0.658034,0.43647197,1.2970637,0.1675667,0.059228193,-0.092084065,0.101360485,-0.23971145,-0.030068835,0.17272367,-0.21672209,0.27208224,0.10142155,-0.4249746,1.1707817,-0.32375264,-0.06783195,-0.7174873,-0.3610339,-0.12185025,-0.07344129,-0.22883953,0.2341843,-0.042555977,0.021880597,-0.74873,0.12041513,0.08918467,0.08214857,-0.2257701,0.43034905,0.30185163,-0.08490359,0.234586,-0.14384872,0.09261482,-0.12018728,0.13738377,-0.6166483,0.23398268,-0.115807906,-0.11275475,-0.20552649,0.47911727,-0.50839376,-0.018150296,-0.28977722,-0.100990474,0.18322106,-0.090736285,-0.24074578,0.1479034,0.23485805,0.111316115,0.21320365,-0.043522038,-0.33138517,0.009419385,0.16199806,-0.2712725
"10"" Coup Plate-Violet",0.57504433,0.08786146,-0.038051214,0.08643588,-0.008457904,0.014682073,0.30254892,0.012904777,-0.036440007,-0.005160428,0.0221535,-0.24706262,0.22654319,0.11500405,0.068544954,0.1711866,-0.08616452,0.07472926,0.58674604,-0.16508675,0.082998484,-0.2833512,-0.23423932,-0.17200027,-0.122953765,-0.24634723,0.19748597,0.06533126,0.09824017,-0.058184613,-0.06990778,-0.27648798,0.12101806,-0.04522813,0.6005591,0.09009081,0.13378921,0.08496495,-0.04264967,-0.02064332,-0.04625727,0.21171209,-0.16488147,0.098539405,0.09621749,-0.18269953,-0.013030423,0.040190656,-0.02102385,-0.06845603,0.10661534,-0.20912199,-0.07060865,-0.34516835,-0.03534583,0.015504811,0.10552283,-0.13290581,0.08400536,-0.009194712,0.07960964,0.17092212,0.15103917,-0.1082629
"10"" Crazy Rice Plate",5.2864804,-1.4091265,0.92967486,0.3383772,0.3716097,-0.10213379,-1.2812523,0.73606795,0.77767557,-1.6058149,-0.5261604,0.19875385,0.0909584,0.7837115,-0.845967,0.16593316,-0.5091559,-0.28301504,1.3825707,0.14786416,-0.12386295,-0.7164192,-0.18452789,0.75312597,-0.28834957,0.086499274,-0.4763286,0.029460235,-0.4572901,-0.74098223,-0.4849721,-0.36463472,-0.6544014,0.3068339,-0.7093759,0.023036622,0.68974197,0.75340754,0.24008901,0.35299087,-0.9778373,-0.33594814,-0.37682763,-0.19371924,-0.08994865,-0.0018155309,-1.1340497,-0.21086718,-0.21320724,0.41084173,-0.4306938,-0.055473953,0.039966945,0.9013745,0.33963627,-0.45930958,0.10359381,-0.056051474,0.05250694,0.05967184,0.13493021,0.08884927,0.23609754,-1.0059651
"10"" Curry Bowl Violet",1.9134856,-0.7759037,0.3514737,1.157831,0.016953623,0.24841629,0.21748061,0.22782512,-0.69938534,0.3122847,0.31927365,-0.10889382,0.42067477,0.5176707,-0.91903555,0.61184484,-0.28733972,-0.2532525,-0.2730622,-0.10867032,-0.58039176,-0.01562152,0.051582087,-0.049780928,-0.46169537,0.09893684,-0.28562573,-0.17241363,0.5873809,-0.035750423,-0.11917753,-0.16934924,-0.09676719,-0.47322083,-0.57284683,0.057248324,-0.07634403,0.14868666,-0.16147725,0.7312943,0.4739279,0.3308261,-0.07451964,0.019418223,0.10250237,0.044653635,-0.19363113,-0.16454656,-0.07955413,-0.163758,0.220331,0.6795774,0.049371194,0.45144486,-0.28028014,-0.34338102,-0.36315838,-0.24689384,-0.14170265,0.3198727,0.31063256,0.034213852,0.7992454,-0.34655648
"10"" Double Color Coup Plate",2.0847228,-1.0218303,1.2588886,0.75092095,0.34104854,-0.98741645,0.072261184,-0.02474071,0.062797196,-0.0606646,0.46663648,0.72780925,0.07483365,0.051153157,-1.0480533,-0.5329237,0.897203,0.1489051,0.5940114,-0.13495801,-0.021030363,-0.22840914,0.30561778,-0.287887,-0.12929595,-0.47089732,-0.63135827,-0.29102743,1.1293385,-0.18278341,-0.69487876,-0.3156077,0.18727967,-0.18091024,-0.020481639,-0.23744677,0.02740039,-0.24948072,-0.11008777,0.52887195,0.13385755,-0.30717883,0.33928633,-0.030146929,0.06243509,-0.084254935,-0.18773693,0.14114311,0.062629715,0.39808214,-0.22587447,-0.90631,0.076427534,-0.2581538,-0.6089619,-0.15083916,-0.48457292,-0.53958535,-0.12855573,0.025285313,-0.10672288,-0.35528973,0.33751342,-0.11223214
"10"" Meat Plate Snowdrop",0.51790917,-0.12129746,-0.36883825,0.4700613,-0.035282224,0.15202455,-0.053361498,0.17096823,0.52228725,-0.17213355,0.07738153,0.07290747,0.52135307,-0.007010356,-0.46334654,0.12042681,-0.110177584,-0.018531721,0.19422519,0.5380887,0.050637513,0.2587344,0.2754779,0.058368966,-0.098793164,-0.0679611,-0.114714414,-0.059046026,-0.16134347,-0.15025096,-0.059161395,-0.15371811,-0.17454879,-0.037872396,-0.37525755,0.1576796,0.20265608,-0.21230702,0.011996426,0.45271826,0.016124243,0.28430185,-0.15711649,0.023873799,-0.17075102,-0.0039436175,-0.13215825,0.04121054,-0.1590581,0.071826115,0.010404202,0.4175892,-0.10801656,0.34589565,0.11948776,0.09427847,0.19898632,0.17001829,-0.19559695,-0.14174461,0.031210676,-0.0031833313,0.27965522,-0.2815764
