input_item,candidate_item,candidate_family,pair_count,pair_score,item_user_cosine_similarity,co_occurrence_cosine_similarity,minilm_text_cosine_similarity,combined_score_before_penalty,same_type_penalty,final_score_after_penalty
Chicken Deshi (Pakistani) Cock,Cock Roast (Deshi)-PC,chicken,19.0,0.6657,0.5058,0.9721,0.6801,0.7046,0.35,0.458
Chicken Deshi (Pakistani) Cock,Chicken (B-Skin),chicken,14.0,0.6018,0.5064,0.9455,0.5357,0.6583,0.35,0.4279
Chicken Deshi (Pakistani) Cock,Chicken Deshi Cock (Live),chicken,1.0,0.154,0.4532,0.9325,0.762,0.6139,0.35,0.399
Chicken Deshi (Pakistani) Cock,Pigeon-1PC,other,13.0,0.5865,0.4705,0.9142,0.3839,0.6037,0.0,0.6037
Chicken Deshi (Pakistani) Cock,Chicken Soup (Deshi),chicken,4.0,0.3577,0.4752,0.8694,0.5893,0.5986,0.35,0.3891
Chicken Deshi (Pakistani) Cock,Chicken (Deshi),chicken,20.0,0.6766,0.1689,0.9572,0.7536,0.5985,0.35,0.389
Chicken Deshi (Pakistani) Cock,Prince Chicken Leg,chicken,6.0,0.4324,0.4251,0.9368,0.4669,0.5881,0.35,0.3822
Chicken Deshi (Pakistani) Cock,Chicken (B-Skin Less),chicken,44.0,0.846,0.2217,0.9579,0.4778,0.5874,0.35,0.3818
Chicken Deshi (Pakistani) Cock,Brinjal (Oval) Big-kg,other,12.0,0.57,0.474,0.7994,0.2821,0.5476,0.0,0.5476
Chicken Deshi (Pakistani) Cock,P. Chicken Breast,chicken,6.0,0.4324,0.2939,0.8755,0.5649,0.5434,0.35,0.3532
Chicken Deshi (Pakistani) Cock,Shrimp Fish Bagda,fish,46.0,0.8556,0.2467,0.8827,0.2899,0.5375,0.0,0.5375
Chicken Deshi (Pakistani) Cock,Rui Fish-M-(MNK),fish,19.0,0.6657,0.2814,0.896,0.3285,0.5329,0.0,0.5329
Chicken Deshi (Pakistani) Cock,Onion Deshi(New)-kg,cooking_essential,43.0,0.841,0.2284,0.8233,0.3974,0.5325,0.0,0.5325
Chicken Deshi (Pakistani) Cock,Mutton (Lever),meat,2.0,0.2441,0.4767,0.9175,0.199,0.5185,0.0,0.5185
Chicken Deshi (Pakistani) Cock,Beef Bone Full,meat,89.0,1.0,0.2169,0.7898,0.259,0.5146,0.0,0.5146
Chicken Deshi (Pakistani) Cock,Shole Fish Big (THR),fish,16.0,0.6296,0.2897,0.8614,0.2972,0.5137,0.0,0.5137
Chicken Deshi (Pakistani) Cock,Laita Shutki-200g,other,10.0,0.5329,0.3247,0.9048,0.2401,0.513,0.0,0.513
Chicken Deshi (Pakistani) Cock,Hilsha Fish-Medium-Pcs,fish,11.0,0.5522,0.3325,0.8661,0.2517,0.5094,0.0,0.5094
Chicken Deshi (Pakistani) Cock,Green Chilli(kg),cooking_essential,42.0,0.8359,0.2395,0.8031,0.2963,0.5094,0.0,0.5094
Chicken Deshi (Pakistani) Cock,Mutton (Special)-Kg,meat,13.0,0.5865,0.2283,0.9325,0.3002,0.5077,0.0,0.5077
