item_id,item_name,purchase_count,product_text
1,Beef Bone Full,1963,Product name: Beef Bone Full.
2,Akher Sugar -1kg,1568,Product name: Akher Sugar -1kg.
3,Green Chilli(kg),1335,Product name: Green Chilli(kg).
4,Onion Deshi(New)-kg,1242,Product name: Onion Deshi(New)-kg.
5,Shrimp Fish Bagda,1234,Product name: Shrimp Fish Bagda.
6,Teer Sugar-1Kg,1156,Product name: Teer Sugar-1Kg.
7,ACI Pure Salt-1Kg,1108,Product name: ACI Pure Salt-1Kg.
8,Prince Lacha Samai-200g(Pkt),1059,Product name: Prince Lacha Samai-200g(Pkt).
9,Sweet Pumpkin(kg),1011,Product name: Sweet Pumpkin(kg).
10,Lassa Special Semai-500g(Pkt),981,Product name: Lassa Special Semai-500g(Pkt).
11,Parboil (Potol)-kg,958,Product name: Parboil (Potol)-kg.
12,Ladies Finger (Vendi)-kg,940,Product name: Ladies Finger (Vendi)-kg.
13,Potato Deshi New-1kg,934,Product name: Potato Deshi New-1kg.
14,Carrot (China)-kg,927,Product name: Carrot (China)-kg.
15,Cow Lever-K,918,Product name: Cow Lever-K.
16,Wheel 2in1 Clean & Fresh Powder-1Kg,893,Product name: Wheel 2in1 Clean & Fresh Powder-1Kg.
17,Milk Vita Liquid Milk-1Ltr,878,Product name: Milk Vita Liquid Milk-1Ltr.
18,Snickers Chocolate-50gm,877,Product name: Snickers Chocolate-50gm.
19,Vermicelli Samai-200gm,827,Product name: Vermicelli Samai-200gm.
20,Coca Cola-2.25Lt(Pet),816,Product name: Coca Cola-2.25Lt(Pet).
21,Malta (Yellow)-kg,810,Product name: Malta (Yellow)-kg.
22,Tomato L.C(kg),799,Product name: Tomato L.C(kg).
23,Capsicum Green,789,Product name: Capsicum Green.
24,Garlic China Big-(kg),779,Product name: Garlic China Big-(kg).
25,Prince Bread(Special)-400g,779,Product name: Prince Bread(Special)-400g.
26,Green Papaya(kg),753,Product name: Green Papaya(kg).
27,Diploma Milk Powder-500g,734,Product name: Diploma Milk Powder-500g.
28,Chicken (B-Skin Less),711,Product name: Chicken (B-Skin Less).
29,Special Chinigura Rice-1Kg,705,Product name: Special Chinigura Rice-1Kg.
30,Cucumber (Hybrid)-kg,639,Product name: Cucumber (Hybrid)-kg.
31,Vim Bar 300g (Lemon),632,Product name: Vim Bar 300g (Lemon).
32,Apple Green,628,Product name: Apple Green.
33,Musur Pulse Kangaroo -1Kg (sp),624,Product name: Musur Pulse Kangaroo -1Kg (sp).
34,Prince Sour Curd-500gm,608,Product name: Prince Sour Curd-500gm.
35,Bottle Guard Big(Lau)-Pc,595,Product name: Bottle Guard Big(Lau)-Pc.
36,Rui Fish-M-(MNK),589,Product name: Rui Fish-M-(MNK).
37,Pabda Fish (Small) (HB),586,Product name: Pabda Fish (Small) (HB).
38,Snack Guard (Chichinga)-kg,583,Product name: Snack Guard (Chichinga)-kg.
39,Usta(kg),582,Product name: Usta(kg).
40,Apple(Gala),563,Product name: Apple(Gala).
41,Chicken (Deshi),555,Product name: Chicken (Deshi).
42,Ginger Barmiz-(Kg),544,Product name: Ginger Barmiz-(Kg).
43,Grapes (Red),542,Product name: Grapes (Red).
44,Wheel Laundry Soap 125g,541,Product name: Wheel Laundry Soap 125g.
45,Kachki Fish (THR),540,Product name: Kachki Fish (THR).
46,Buldak Noodles (All),532,Product name: Buldak Noodles (All).
47,Akher Sugar -2kg,532,Product name: Akher Sugar -2kg.
48,Chicken Deshi (Pakistani) Cock,525,Product name: Chicken Deshi (Pakistani) Cock.
49,Cow Stomach-K,523,Product name: Cow Stomach-K.
50,Cucumber Deshi (kg),523,Product name: Cucumber Deshi (kg).
51,Bashundhara Paper Napkin-100p,511,Product name: Bashundhara Paper Napkin-100p.
52,Brinjal Oval ( Tal Begun ) -kg,510,Product name: Brinjal Oval ( Tal Begun ) -kg.
53,Vim Bar Lemon-125gm,505,Product name: Vim Bar Lemon-125gm.
54,Apple Fuji,498,Product name: Apple Fuji.
55,Cinnamon-100g (Daruchine),497,Product name: Cinnamon-100g (Daruchine).
56,Radhuni Biriyani Masala-40g,493,Product name: Radhuni Biriyani Masala-40g.
57,Mug Pulse (Sona)-1kg,491,Product name: Mug Pulse (Sona)-1kg.
58,D Korean Ramen 3X Spicy Noodles-248gm,484,Product name: D Korean Ramen 3X Spicy Noodles-248gm.
59,Borboti(kg),473,Product name: Borboti(kg).
60,Brinjal Long (Thin)-kg,462,Product name: Brinjal Long (Thin)-kg.
61,Fresh Refined Sugar-1000gm,461,Product name: Fresh Refined Sugar-1000gm.
62,Thai Papaya Ripe Red Lady,459,Product name: Thai Papaya Ripe Red Lady.
63,Naspati(kg),458,Product name: Naspati(kg).
64,Pomegranate (Mitulla)-B,453,Product name: Pomegranate (Mitulla)-B.
65,Rin Advanced-1000gm,445,Product name: Rin Advanced-1000gm.
66,Pusti Soyabean Oil-5Ltr,443,Product name: Pusti Soyabean Oil-5Ltr.
67,Chashi Aromatic Chinigura Rice-1Kg,443,Product name: Chashi Aromatic Chinigura Rice-1Kg.
68,Radhuni Spices Cumin-100gm,434,Product name: Radhuni Spices Cumin-100gm.
69,Hot Pran Tomato Sauce-500gm,433,Product name: Hot Pran Tomato Sauce-500gm.
70,Coriander Leaf Pcs-100gm,433,Product name: Coriander Leaf Pcs-100gm.
71,KurKure Cream & Onion 37gm,432,Product name: KurKure Cream & Onion 37gm.
72,Aarong Butter Salted-100gm,429,Product name: Aarong Butter Salted-100gm.
73,Shrimp Fish Small (THR),426,Product name: Shrimp Fish Small (THR).
74,Cardmom-50gm(Alachi),422,Product name: Cardmom-50gm(Alachi).
75,Kolson Vermicelli-200g,419,Product name: Kolson Vermicelli-200g.
76,Net Pumpkin (Jali Kumra)-Pc,418,Product name: Net Pumpkin (Jali Kumra)-Pc.
77,Golden Raising-100gm(Kismis),410,Product name: Golden Raising-100gm(Kismis).
78,Prince Borhani-1.5Ltr,408,Product name: Prince Borhani-1.5Ltr.
79,Grape White Small (IIndian),400,Product name: Grape White Small (IIndian).
80,Mutton (Special)-Kg,397,Product name: Mutton (Special)-Kg.
81,Kolson Macarony-200gm All Flv.,395,Product name: Kolson Macarony-200gm All Flv..
82,China Jhilmil Majuni (4/23),394,Product name: China Jhilmil Majuni (4/23).
83,Mola Fish (THR),394,Product name: Mola Fish (THR).
84,Rui Fish (S1)-(MNK),389,Product name: Rui Fish (S1)-(MNK).
85,Pusti Atta -2kg,388,Product name: Pusti Atta -2kg.
86,Beef Without Bone Special,388,Product name: Beef Without Bone Special.
87,Prince Bread(Suger Free)-400g,380,Product name: Prince Bread(Suger Free)-400g.
88,Kaveri Mehendi Cone 2pcs -25g,380,Product name: Kaveri Mehendi Cone 2pcs -25g.
89,Aarong Yogurt Sour Curd-500gm,374,Product name: Aarong Yogurt Sour Curd-500gm.
90,Cock Roast (Deshi)-PC,373,Product name: Cock Roast (Deshi)-PC.
91,Musur Pulse Deshi-1Kg,371,Product name: Musur Pulse Deshi-1Kg.
92,Teer Atta 2kg,369,Product name: Teer Atta 2kg.
93,Lemon Elachi-Pc,366,Product name: Lemon Elachi-Pc.
94,Detos CW Chips-30gm,366,Product name: Detos CW Chips-30gm.
95,Hilsha Fish Big-(MNK)-Pcs,361,Product name: Hilsha Fish Big-(MNK)-Pcs.
96,Prince Borhani-1000ml,360,Product name: Prince Borhani-1000ml.
97,Aarong Sour Yogurt-500gm,355,Product name: Aarong Sour Yogurt-500gm.
98,Nescafe Classic Jar-25gm,355,Product name: Nescafe Classic Jar-25gm.
99,Chia Seed (Dana) New-100g,353,Product name: Chia Seed (Dana) New-100g.
100,Queens Burger Bread (BUN)- 250g,350,Product name: Queens Burger Bread (BUN)- 250g.
101,Dragon Fruits (B),344,Product name: Dragon Fruits (B).
102,Prince Square Toast-250gm,344,Product name: Prince Square Toast-250gm.
103,Vim Dishwash Liquid- 250ml,344,Product name: Vim Dishwash Liquid- 250ml.
104,Belleame Digestive Biscuit- 135g,344,Product name: Belleame Digestive Biscuit- 135g.
105,Bashundhara Atta-2kg,343,Product name: Bashundhara Atta-2kg.
106,Shing Fish-(THR),342,Product name: Shing Fish-(THR).
107,China Steel Majuni Single-(4/23),342,Product name: China Steel Majuni Single-(4/23).
108,Lati Thik(Kg),336,Product name: Lati Thik(Kg).
109,Cabbage-Pc,335,Product name: Cabbage-Pc.
110,Prince Dubli Pulse-1kg,335,Product name: Prince Dubli Pulse-1kg.
111,Golden Raisin (Kismis)-200gm,334,Product name: Golden Raisin (Kismis)-200gm.
112,Cassia Leaf-100gm (Tespata),330,Product name: Cassia Leaf-100gm (Tespata).
113,Brinjal (Oval) Big-kg,328,Product name: Brinjal (Oval) Big-kg.
114,Jhinga(kg),328,Product name: Jhinga(kg).
115,Laitta Fish,328,Product name: Laitta Fish.
116,Pran Aromatic Rice-2kg,328,Product name: Pran Aromatic Rice-2kg.
117,Gulsha Fish(Small)-(HB),326,Product name: Gulsha Fish(Small)-(HB).
118,Funtastic Ore Cream Pineapple,326,Product name: Funtastic Ore Cream Pineapple.
119,Snickers -50gm(Buy 2 Get 1 Free),325,Product name: Snickers -50gm(Buy 2 Get 1 Free).
120,Bisk Club Potata Biscuit- 100g,325,Product name: Bisk Club Potata Biscuit- 100g.
121,Chocolate Digestive 145gm,324,Product name: Chocolate Digestive 145gm.
