item_index,item_id,item_name,normalized_item_name,purchase_count
0,1,Beef Bone Full,beef bone full,1963
1,2,Akher Sugar -1kg,akher sugar 1kg,1568
2,3,Green Chilli(kg),green chilli kg,1335
3,4,Onion Deshi(New)-kg,onion deshi new kg,1242
4,5,Shrimp Fish Bagda,shrimp fish bagda,1234
5,6,Teer Sugar-1Kg,teer sugar 1kg,1156
6,7,ACI Pure Salt-1Kg,aci pure salt 1kg,1108
7,8,Prince Lacha Samai-200g(Pkt),prince lacha samai 200g pkt,1059
8,9,Sweet Pumpkin(kg),sweet pumpkin kg,1011
9,10,Lassa Special Semai-500g(Pkt),lassa special semai 500g pkt,981
10,11,Parboil (Potol)-kg,parboil potol kg,958
11,12,Ladies Finger (Vendi)-kg,ladies finger vendi kg,940
12,13,Potato Deshi New-1kg,potato deshi new 1kg,934
13,14,Carrot (China)-kg,carrot china kg,927
14,15,Cow Lever-K,cow lever k,918
15,16,Wheel 2in1 Clean & Fresh Powder-1Kg,wheel 2in1 clean and fresh powder 1kg,893
16,17,Milk Vita Liquid Milk-1Ltr,milk vita liquid milk 1ltr,878
17,18,Snickers Chocolate-50gm,snickers chocolate 50gm,877
18,19,Vermicelli Samai-200gm,vermicelli samai 200gm,827
19,20,Coca Cola-2.25Lt(Pet),coca cola 2 25lt pet,816
20,21,Malta (Yellow)-kg,malta yellow kg,810
21,22,Tomato L.C(kg),tomato l c kg,799
22,23,Capsicum Green,capsicum green,789
23,24,Garlic China Big-(kg),garlic china big kg,779
24,25,Prince Bread(Special)-400g,prince bread special 400g,779
25,26,Green Papaya(kg),green papaya kg,753
26,27,Diploma Milk Powder-500g,diploma milk powder 500g,734
27,28,Chicken (B-Skin Less),chicken b skin less,711
28,29,Special Chinigura Rice-1Kg,special chinigura rice 1kg,705
29,30,Cucumber (Hybrid)-kg,cucumber hybrid kg,639
30,31,Vim Bar 300g (Lemon),vim bar 300g lemon,632
31,32,Apple Green,apple green,628
32,33,Musur Pulse Kangaroo -1Kg (sp),musur pulse kangaroo 1kg sp,624
33,34,Prince Sour Curd-500gm,prince sour curd 500gm,608
34,35,Bottle Guard Big(Lau)-Pc,bottle guard big lau pc,595
35,36,Rui Fish-M-(MNK),rui fish m mnk,589
36,37,Pabda Fish (Small) (HB),pabda fish small hb,586
37,38,Snack Guard (Chichinga)-kg,snack guard chichinga kg,583
38,39,Usta(kg),usta kg,582
39,40,Apple(Gala),apple gala,563
40,41,Chicken (Deshi),chicken deshi,555
41,42,Ginger Barmiz-(Kg),ginger barmiz kg,544
42,43,Grapes (Red),grapes red,542
43,44,Wheel Laundry Soap 125g,wheel laundry soap 125g,541
44,45,Kachki Fish (THR),kachki fish thr,540
45,46,Buldak Noodles (All),buldak noodles all,532
46,47,Akher Sugar -2kg,akher sugar 2kg,532
47,48,Chicken Deshi (Pakistani) Cock,chicken deshi pakistani cock,525
48,49,Cow Stomach-K,cow stomach k,523
49,50,Cucumber Deshi (kg),cucumber deshi kg,523
50,51,Bashundhara Paper Napkin-100p,bashundhara paper napkin 100p,511
51,52,Brinjal Oval ( Tal Begun ) -kg,brinjal oval tal begun kg,510
52,53,Vim Bar Lemon-125gm,vim bar lemon 125gm,505
53,54,Apple Fuji,apple fuji,498
54,55,Cinnamon-100g (Daruchine),cinnamon 100g daruchine,497
55,56,Radhuni Biriyani Masala-40g,radhuni biriyani masala 40g,493
56,57,Mug Pulse (Sona)-1kg,mug pulse sona 1kg,491
57,58,D Korean Ramen 3X Spicy Noodles-248gm,d korean ramen 3x spicy noodles 248gm,484
58,59,Borboti(kg),borboti kg,473
59,60,Brinjal Long (Thin)-kg,brinjal long thin kg,462
60,61,Fresh Refined Sugar-1000gm,fresh refined sugar 1000gm,461
61,62,Thai Papaya Ripe Red Lady,thai papaya ripe red lady,459
62,63,Naspati(kg),naspati kg,458
63,64,Pomegranate (Mitulla)-B,pomegranate mitulla b,453
64,65,Rin Advanced-1000gm,rin advanced 1000gm,445
65,66,Pusti Soyabean Oil-5Ltr,pusti soyabean oil 5ltr,443
66,67,Chashi Aromatic Chinigura Rice-1Kg,chashi aromatic chinigura rice 1kg,443
67,68,Radhuni Spices Cumin-100gm,radhuni spices cumin 100gm,434
68,69,Hot Pran Tomato Sauce-500gm,hot pran tomato sauce 500gm,433
69,70,Coriander Leaf Pcs-100gm,coriander leaf pcs 100gm,433
70,71,KurKure Cream & Onion 37gm,kurkure cream and onion 37gm,432
71,72,Aarong Butter Salted-100gm,aarong butter salted 100gm,429
72,73,Shrimp Fish Small (THR),shrimp fish small thr,426
73,74,Cardmom-50gm(Alachi),cardmom 50gm alachi,422
74,75,Kolson Vermicelli-200g,kolson vermicelli 200g,419
75,76,Net Pumpkin (Jali Kumra)-Pc,net pumpkin jali kumra pc,418
76,77,Golden Raising-100gm(Kismis),golden raising 100gm kismis,410
77,78,Prince Borhani-1.5Ltr,prince borhani 1 5ltr,408
78,79,Grape White Small (IIndian),grape white small iindian,400
79,80,Mutton (Special)-Kg,mutton special kg,397
80,81,Kolson Macarony-200gm All Flv.,kolson macarony 200gm all flv,395
