item_index,item_name
0,"09"" Bowl-Snowdrop"
1,1 Pack Silicone Nipple-MH-013 BX
2,10 Bowl
3,10 Colour Pen -05
4,"10"" Coup Plate-Snowdrop"
5,"10"" Coup Plate-Violet"
6,"10"" Crazy Rice Plate"
7,"10"" Curry Bowl Violet"
8,"10"" Double Color Coup Plate"
9,"10"" Meat Plate Snowdrop"
10,"10"" Soup Plate"
11,"10"" Soup Plate-919111"
12,"10"" Soup Plate-92435"
13,"10"" Star Bowl Snowdrop"
14,"10"" Star Soup Plate"
15,"10.3"" Crazy Coup Plate -859840"
16,100 Plus Org.Isotonic Drink-325ml (Can)
17,"11"" Classic Plate"
18,"11"" Crazy Plate-Snowdrop"
19,"12"" Oval Dish"
20,"12.6"" Rtg Handle Tray-92419"
21,"13.5"" Party Tray"
22,"14"" Oval Dish"
23,"16"" Oval Dish"
24,"16"" Rtg Handle Tray-92331"
25,2 Fun Instant Noodles Chicken F-496gm
26,2 Fun Instant Noodles Masala F-496gm
27,2 Pack Silicone Nipple-MH-013
28,2-Step Traning Cup DCA-04S2
29,"2.5"" Double Color Glass"
30,"3 Section Baby Plate- 10"""
31,"3.5"" Winter Bowel -75785"
32,"4.5"" Spring Bowl-75751"
33,"4.5"" Wave Bowl-78525"
34,5 Curry Bowl
35,"5"" Lovely Bowl With Lid"
36,"5"" Queen Bowl-Green"
37,"5"" Spring Bowl-75752"
38,"5"" Square Container-Snowdrop"
39,"5"" Star Bowl"
40,"5"" Winter Bowl"
41,5star 3D Chocolate-42g / 45g
42,6.5 Star Bowl
43,"6.5"" Curry Bowl"
44,"6.5"" Winter Bowl Blue-Green"
45,7 Curry Bowl
46,7 Up-1Ltr(Pet)
47,7 in One Hair Oil Almond-200ml
48,7 in One Hair Oil Castor-100ml
49,7 in One Hair Oil Coconut-100ml
50,"7"" Classic Plate"
51,"7"" Classic Plate-Color Box"
52,"7"" Soup Plate-Snowdrop"
53,7Up 2Ltr
54,7Up Can-320ml (Malay)
55,7Up Can-320ml (Singapur)
56,7Up Lite Pet- 600ml
57,7up -250ml
58,7up Light 250ml (Pet)
59,7up Light 250ml (can)
60,7up-250ml Can
61,8 Crazy Plate
62,"8"" Bamboo Sticks --81"
63,"8"" Winter Bowel -75788"
64,8oz Food Feeder BAA-28
65,"9"" Classic Plate"
66,"9"" Sandwich Tray-Juicy"
67,A Coconut Milk Chocolate 135g
68,A G BBQ Sauce Org-510g
69,A. Harvest Milk Drink -290ml (All)
70,A.K Check Trouser (Big)-552
71,A.K Check Trouser- 052
72,A.K Trouser-092
73,A.S Baby Nail Clipper- AB-627
74,A.S. PP Feeding Bottle- 210ml
75,AB Chicken Finger-300gm
76,AB Chicken Mini Samosa - 250gm
77,AB Chicken Nuggets -250gm
78,AB Chicken Popcorn-250gm
79,AB Chicken Samocha-8pcs
80,ACCI Bread
81,ACI Aerosol 350ml
82,ACI Aerosol 475ml
83,ACI Aerosol 800ml
84,ACI Aerosol-250ml
85,ACI Freedom Sanitary Napkin-15pads
